rank,title,url,score,votes,release_year,scraped_at
22,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,14527,2026,2026-09-10T00:03:03-07:00
23,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,135114,2018,2026-09-10T00:03:03-07:00
24,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,75159,2026,2026-09-10T00:03:03-07:00
25,MobLand,https://www.imdb.com/title/tt31510819/,8.3,123187,2025,2026-09-10T00:03:03-07:00
26,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,8371,2026,2026-09-10T00:03:03-07:00
27,Outer Banks,https://www.imdb.com/title/tt10293938/,7.5,114111,2020,2026-09-10T00:03:03-07:00
28,Tires,https://www.imdb.com/title/tt31491435/,7.7,25658,2024,2026-09-10T00:03:03-07:00
29,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,595263,1999,2026-09-10T00:03:03-07:00
30,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,168895,2025,2026-09-10T00:03:03-07:00
31,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,711564,2013,2026-09-10T00:03:03-07:00
32,Mousetrap,https://www.imdb.com/title/tt36996011/,7.0,1522,2026,2026-09-10T00:03:03-07:00
33,Leanne,https://www.imdb.com/title/tt32213668/,7.2,6656,2025,2026-09-10T00:03:03-07:00
34,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,547538,2005,2026-09-10T00:03:03-07:00
35,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1212869,2010,2026-09-10T00:03:03-07:00
36,SEAL Team,https://www.imdb.com/title/tt6473344/,7.9,41038,2017,2026-09-10T00:03:03-07:00
37,Off Campus,https://www.imdb.com/title/tt33546863/,7.8,54216,2026,2026-09-10T00:03:03-07:00
38,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,745566,2013,2026-09-10T00:03:03-07:00
39,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.7,70599,2026,2026-09-10T00:03:03-07:00
40,Heroes,https://www.imdb.com/title/tt0813715/,7.5,265495,2006,2026-09-10T00:03:03-07:00
41,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,862215,2015,2026-09-10T00:03:03-07:00
42,True Detective,https://www.imdb.com/title/tt2356777/,8.8,769188,2014,2026-09-10T00:03:03-07:00
43,The Grand Tour,https://www.imdb.com/title/tt5712554/,8.7,96111,2016,2026-09-10T00:03:03-07:00
44,Lucky,https://www.imdb.com/title/tt34866681/,6.7,15698,2026,2026-09-10T00:03:03-07:00
45,The Office,https://www.imdb.com/title/tt0386676/,9.0,849140,2005,2026-09-10T00:03:03-07:00
46,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,321264,2018,2026-09-10T00:03:03-07:00
47,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,63327,2026,2026-09-10T00:03:03-07:00
48,Severance,https://www.imdb.com/title/tt11280740/,8.6,405357,2022,2026-09-10T00:03:03-07:00
49,Vigil,https://www.imdb.com/title/tt11846996/,7.4,31949,2021,2026-09-10T00:03:03-07:00
50,Ludwig,https://www.imdb.com/title/tt27846061/,8.1,24672,2024,2026-09-10T00:03:03-07:00
51,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,8.8,284694,2005,2026-09-10T00:03:03-07:00
52,The Bear,https://www.imdb.com/title/tt14452776/,8.5,324967,2022,2026-09-10T00:03:03-07:00
53,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,242793,2005,2026-09-10T00:03:03-07:00
54,Talamasca: The Secret Order,https://www.imdb.com/title/tt32596156/,6.5,7890,2025,2026-09-10T00:03:03-07:00
55,Trigger Point,https://www.imdb.com/title/tt11958610/,6.7,11500,2022,2026-09-10T00:03:03-07:00
56,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1737233,2016,2026-09-10T00:03:03-07:00
57,The White Lotus,https://www.imdb.com/title/tt13406094/,8.0,333703,2021,2026-09-10T00:03:03-07:00
58,From,https://www.imdb.com/title/tt9813792/,7.8,207089,2022,2026-09-10T00:03:03-07:00
59,The Wire,https://www.imdb.com/title/tt0306414/,9.3,438686,2002,2026-09-10T00:03:03-07:00
60,Shameless,https://www.imdb.com/title/tt1586680/,8.5,338426,2011,2026-09-10T00:03:03-07:00
61,American Horror Story,https://www.imdb.com/title/tt1844624/,7.9,364545,2011,2026-09-10T00:03:03-07:00
62,Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/,8.1,147140,1999,2026-09-10T00:03:03-07:00
63,Dexter,https://www.imdb.com/title/tt0773262/,8.6,954193,2006,2026-09-10T00:03:03-07:00
64,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1024770,2019,2026-09-10T00:03:03-07:00
65,Mirzapur,https://www.imdb.com/title/tt6473300/,8.4,94975,2018,2026-09-10T00:03:03-07:00
66,Blood Sacrifice,https://www.imdb.com/title/tt38553367/,6.3,5511,2026,2026-09-10T00:03:03-07:00
67,The Grand Tour,https://www.imdb.com/title/tt44974627/,8.4,1172,2026,2026-09-10T00:03:03-07:00
68,One Piece,https://www.imdb.com/title/tt0388629/,9.0,366352,1999,2026-09-10T00:03:03-07:00
69,Landman,https://www.imdb.com/title/tt14186672/,8.2,115698,2024,2026-09-10T00:03:03-07:00
70,Death of the Pastor's Wife,https://www.imdb.com/title/tt44113382/,6.7,4171,2026,2026-09-10T00:03:03-07:00
71,Black Mirror,https://www.imdb.com/title/tt2085059/,8.7,748167,2011,2026-09-10T00:03:03-07:00
72,Person of Interest,https://www.imdb.com/title/tt1839578/,8.5,215327,2011,2026-09-10T00:03:03-07:00
73,Band of Brothers,https://www.imdb.com/title/tt0185906/,9.4,603705,2001,2026-09-10T00:03:03-07:00
74,Monster,https://www.imdb.com/title/tt13207736/,7.7,226232,2022,2026-09-10T00:03:03-07:00
75,Ride or Die,https://www.imdb.com/title/tt30494226/,7.5,15859,2026,2026-09-10T00:03:03-07:00
76,Friends,https://www.imdb.com/title/tt0108778/,8.8,1207013,1994,2026-09-10T00:03:03-07:00
77,Fargo,https://www.imdb.com/title/tt2802850/,8.8,474865,2014,2026-09-10T00:03:03-07:00
78,Succession,https://www.imdb.com/title/tt7660850/,8.8,366942,2018,2026-09-10T00:03:03-07:00
79,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,8.1,945885,2007,2026-09-10T00:03:03-07:00
80,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,283828,2026,2026-09-10T00:03:03-07:00
81,Lovesick,https://www.imdb.com/title/tt32909469/,5.8,249,2026,2026-09-10T00:03:03-07:00
82,Neagley,https://www.imdb.com/title/tt33539520/,,0,2026,2026-09-10T00:03:03-07:00
83,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,7.6,377662,2005,2026-09-10T00:03:03-07:00
84,Mushoku Tensei: Jobless Reincarnation,https://www.imdb.com/title/tt13293588/,8.2,57826,2021,2026-09-10T00:03:03-07:00
85,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.2,25357,2026,2026-09-10T00:03:03-07:00
86,Paradise,https://www.imdb.com/title/tt27444205/,7.9,88941,2025,2026-09-10T00:03:03-07:00
87,House,https://www.imdb.com/title/tt0412142/,8.7,600266,2004,2026-09-10T00:03:03-07:00
88,Gilmore Girls,https://www.imdb.com/title/tt0238784/,8.2,176964,2000,2026-09-10T00:03:03-07:00
89,Anna Pigeon,https://www.imdb.com/title/tt36937503/,6.0,1213,2026,2026-09-10T00:03:03-07:00
90,Shrinking,https://www.imdb.com/title/tt15677150/,8.2,130635,2023,2026-09-10T00:03:03-07:00
91,Bookish,https://www.imdb.com/title/tt32066226/,6.9,5218,2025,2026-09-10T00:03:03-07:00
92,Best Medicine,https://www.imdb.com/title/tt36885662/,6.7,6492,2026,2026-09-10T00:03:03-07:00
93,Beauty in Black,https://www.imdb.com/title/tt31260386/,5.9,6371,2024,2026-09-10T00:03:03-07:00
94,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,324414,2019,2026-09-10T00:03:03-07:00
95,ER,https://www.imdb.com/title/tt0108757/,7.9,80316,1994,2026-09-10T00:03:03-07:00
96,NCIS,https://www.imdb.com/title/tt0364845/,7.8,177979,2003,2026-09-10T00:03:03-07:00
97,My Brilliant Career,https://www.imdb.com/title/tt37352716/,7.0,3307,2026,2026-09-10T00:03:03-07:00
98,Pluribus,https://www.imdb.com/title/tt22202452/,7.9,173266,2025,2026-09-10T00:03:03-07:00
99,Lost,https://www.imdb.com/title/tt0411008/,8.3,681541,2004,2026-09-10T00:03:03-07:00
100,Suits,https://www.imdb.com/title/tt1632701/,8.4,549365,2011,2026-09-10T00:03:03-07:00
